"dim_client_id","name","code","dim_project_id"
1,"Acosta_ServiceDesk","ACST","Acosta_ServiceDesk"
2,"Adtalem","ATGE","Adtalem"
3,"Affinia","AFFI","Affinia"
4,"Alcoa_Bucharest","ALCB","Alcoa Europe"
5,"Alcoa_Canada","ALCC","Alcoa Europe"
6,"Alcoa_Scandinavia","ALCS","Alcoa Europe"
7,"Arconic","ARCN","Alcoa Europe"
8,"Alcoa","ALCA","Alcoa NOA"
9,"Alcoa_HR","ALCH","Alcoa NOA"
10,"Arconic_NOA","ARNC","Alcoa NOA"
11,"AlvarezMarsal","ALMA","AlvarezMarsal"
12,"Amcor","AMCR","Amcor"
13,"Amcor_EMEA","AMCE","Amcor"
14,"Arctic_Glacier","AGLC","Arctic_Glacier"
15,"MAUD_Manila","MAUD","AVID"
16,"MAUD_Romania","MAUD","AVID"
17,"Pinnacle","PCLE","AVID"
18,"AVID_PRO_Bucharest","APRO","AVID PRO"
19,"AVID_PRO_Manila","APRO","AVID PRO"
20,"BCG_Europe","BCGE","BCG Europe"
21,"BCGA","BCGA","BCGA"
22,"BioRad","BIRD","Bio-Rad Global"
23,"Brown_Forman","BRFN","Brown-Forman"
24,"Cambridge_Associates","CMBA","Cambridge_Associates"
25,"CEC","CEC_","Career Education Corporation"
26,"CCH_ServiceDesk","CCH_","CCH_ServiceDesk"
27,"CEVA_BPO","CEVB","CEVA_BPO"
28,"Ceva_Global_Service_Desk","CEVA","Ceva_Global_Service_Desk"
29,"Clariant","CLRT","Clariant Service Desk"
30,"CLS_ServiceDesk","CLS_","CLS ServiceDesk"
31,"CNH","CNH_","CNH"
32,"CNHI_EMEA","CNHI","CNHI_EMEA"
33,"CNHI_NAFTA","CNHI","CNHI_NAFTA"
34,"Covance","COVN","Covance"
35,"Dana","DANA","Dana"
36,"DeVry","DVYU","DeVry"
37,"Duke","DUKE","Duke"
38,"Dunkin_Brands_Unified_Service_Desk","DBUS","Dunkin Brands Unified Service Desk"
39,"Embraer","EMBR","Embraer"
40,"Enel_Green_Power_NA","ENEL","Enel Green Power"
41,"eNett","ENET","eNett"
42,"Epsilon","EPSI","Epsilon"
43,"Essilor","ESLR","Essilor"
44,"EuropCar","ECAR","EuropCar"
45,"Evoqua_BPO","EVQB","Evoqua_BPO"
46,"Evoqua","EVOQ","EVOQUA_ServiceDesk"
47,"Ferro","FRRO","Ferro"
48,"Firmenich","FIRM","Firmenich"
49,"Flexera_Software","FLEX","Flexera"
50,"Flight_Safety","FSI_","Flight_Safety"
51,"Ford","FORD","Ford"
52,"Goodman_Service_Desk","GMSD","Goodman Service Desk"
53,"GSK_EMEA","GSK_","GSK"
54,"GSK_LATAM","GSK_","GSK"
55,"GSK_Manila","GSK_","GSK"
56,"GSK_Morocco","GSK_","GSK"
57,"GSK_Vaccines","GSK_","GSK"
58,"Hanon","HANN","Hanon"
59,"Heinz","HENZ","Heinz"
60,"Heinz_Bucharest","HENZ","Heinz"
61,"Heinz_China","HENZ","Heinz"
62,"Heinz_Manila","HENZ","Heinz"
63,"Heinz_SaoPaolo","HENZ","Heinz"
64,"Kraft_Heinz","KHNZ","Heinz"
65,"Honda","HNDA","Honda"
66,"Huron_Consulting_Group","HURN","Huron Consulting Group"
67,"Hydro","HYDR","Hydro"
68,"Infineum","INFI","Infineum"
69,"AbbVie_EOL","EOL_","ITSS"
70,"Braskem","BRSK","ITSS"
71,"Chrysler","CHRY","ITSS"
72,"EURID","EURI","ITSS"
73,"GAVI","GAVI","ITSS"
74,"IBO","IBO_","ITSS"
75,"IBX","IBX_","ITSS"
76,"Invengo","INVG","ITSS"
77,"Koneo_Express_Support","KOEX","ITSS"
78,"MSC","MSC_","ITSS"
79,"Outokumpu_Service_Desk","OUTO","ITSS"
80,"Puratos","PUR_","ITSS"
81,"SDC","SDC_","ITSS"
82,"SG_Finans","SGFI","ITSS"
83,"SGS","SGS_","ITSS"
84,"Solvay","SOLV","ITSS"
85,"SQM","SQM_","ITSS"
86,"Stryker","STRK","ITSS"
87,"Tagsys_RFID","TAGS","ITSS"
88,"Terumo","TER_","ITSS"
89,"TTSD","TTSD","ITSS"
90,"Jaguar_Land_Rover","JLR_","Jaguar Land Rover"
91,"JDSD_China","JDSD","John Deere"
92,"JDSD_Davenport","JDSD","John Deere"
93,"JDSD_India","JDSD","John Deere"
94,"JDSD_Mexico","JDSD","John Deere"
95,"JDSD_NAM","JDSD","John Deere"
96,"JDSD_Shanghai","JDSD","John Deere"
97,"John_Deere","JDSD","John Deere"
98,"Joy_Global","JOYG","Joy Global"
99,"KDS","KDS_","KDS"
100,"Kelvion","KELV","Kelvion"
101,"Klockner_Pentaplast","KLCN","Klockner_Pentaplast"
102,"LabCorp","LABC","LabCorp"
103,"Lakeside_Software","LAKE","Lakeside_Software"
104,"Levi_Strauss_Europe_ServiceDesk","LSE_","Levi Strauss Europe"
105,"AiCure","AICU","Life Science Services"
106,"ArisGlobal","ARIS","Life Science Services"
107,"Arrowhead","ARRO","Life Science Services"
108,"Astellas","ASTE","Life Science Services"
109,"Cambridge_Cognition","CAMB","Life Science Services"
110,"Centocor","CNTO","Life Science Services"
111,"Clinpal","CLPA","Life Science Services"
112,"CRF_Health","CRFH","Life Science Services"
113,"Edwards","EDWA","Life Science Services"
114,"Icon","ICON","Life Science Services"
115,"Janssen_AccountMgt","JANA","Life Science Services"
116,"Janssen_eMeds","JANE","Life Science Services"
117,"Lupus_Research_Institute","LRA_","Life Science Services"
118,"Medavante","MEAV","Life Science Services"
119,"Medidata","MEDI","Life Science Services"
120,"Merck","MRCK","Life Science Services"
121,"Merck_Serono","MSER","Life Science Services"
122,"mProve","MPRO","Life Science Services"
123,"Pfizer","PFZR","Life Science Services"
124,"S_Clinica","SCLI","Life Science Services"
125,"sanofi_aventis","SAVE","Life Science Services"
126,"Sanofi_Pasteur","SPAS","Life Science Services"
127,"Schering_Plough","SPRI","Life Science Services"
128,"Servier","SERV","Life Science Services"
129,"Sorin","SORN","Life Science Services"
130,"Suvoda","SUVD","Life Science Services"
131,"Tudor_Reilly_Health","TRH_","Life Science Services"
132,"Yprime","YPRI","Life Science Services"
133,"LINDE","LIND","Linde"
134,"Linde_DivestCO","LNDV","Linde_DivestCO"
135,"Locomote","LOCO","Locomote"
136,"Louis_Vuitton_North_America","LVNA","Louis Vuitton North America"
137,"Magna","MGNA","Magna"
138,"MasterCard","MCRD","MasterCard"
139,"Miele_and_Cie","MIEL","Miele_and_Cie"
140,"NBA_Service_Desk","NBA_","NBA_Service_Desk"
141,"Nestle_LATAM","NSTL","Nestle Global SD"
142,"Nestle_NAM","NSTL","Nestle Global SD"
143,"Nexans_Service_Desk","NEXA","Nexans_Service_Desk"
144,"NIKE_APAC_NR","NIKE","Nike_Service_Desk"
145,"NIKE_APAC_R","NIKE","Nike_Service_Desk"
146,"NIKE_EMEA_NR","NIKE","Nike_Service_Desk"
147,"NIKE_EMEA_R","NIKE","Nike_Service_Desk"
148,"Nike_Schedulers_NR","NIKE","Nike_Service_Desk"
149,"Nike_Schedulers_R","NIKE","Nike_Service_Desk"
150,"Nike_Service_Desk","NIKE","Nike_Service_Desk"
151,"Novelis","NVLS","Novelis"
152,"Novelis_EMEA","NVLS","Novelis"
153,"Numonyx","NMNX","Numonyx"
154,"Expedia","EXPD","Orbitz WW SD"
155,"Orbitz_WW_SD","ORBZ","Orbitz WW SD"
156,"Philip_Morris","PMI_","Philip_Morris"
157,"PROXIMUS","PROX","PROXIMUS"
158,"Reception_Brussels","RCPT","Reception Brussels"
159,"Reydel","REYD","Reydel"
160,"Rogers","RGRS","Rogers"
161,"Route_One","RT_1","Route One"
162,"SGWS","SGWS","SGWS"
163,"SNHU","SNHU","SNHU"
164,"Chrysler_HR","CHRY","SSV-POS"
165,"Compressor_Controls_Corporation","CCC_","SSV-POS"
166,"NCAA","NCAA","SSV-POS"
167,"Subway","SBWY","SSV-POS"
168,"TRW_Automotive","TRWA","SSV-POS"
169,"Stryker_ITSD","STRK","Stryker ITSD"
170,"Sulzer_Service_Desk","SLZR","Sulzer Service Desk"
171,"Swagelok","SWAG","Swagelok"
172,"Tech_On_Demand","TECH","Tech On Demand"
173,"Tessco","TESS","Tessco"
174,"Town_Sports_International","TOWN","Town Sports International"
175,"Apollo","APO_","Travelport"
176,"Galileo_APAC","GALI","Travelport"
177,"Galileo_Brussels","GALI","Travelport"
178,"Galileo_Bucharest","GALI","Travelport"
179,"Galileo_EMEA","GALI","Travelport"
180,"Galileo_LATAM","GALI","Travelport"
181,"Galileo_Manila","GALI","Travelport"
182,"Galileo_Shanghai","GALI","Travelport"
183,"Worldspan_Brussels","WSP_","Travelport"
184,"Worldspan_Bucharest","WSP_","Travelport"
185,"Worldspan_EMEA","WSP_","Travelport"
186,"Worldspan_LATAM","WSP_","Travelport"
187,"TRW_Global","TRW_","TRW Global"
188,"TTX_Americas","TTXA","TTX Americas"
189,"Valeo","VLEO","Valeo"
190,"Vallourec","VALL","Vallourec NA"
191,"Vallourec_NA","VALL","Vallourec NA"
192,"Veridium","VERI","Veridium"
193,"Visteon","VIST","Visteon"
194,"Yazaki","YAZK","Yazaki"
195,"ZF_Service_Desk","ZFSD","ZF_Service_Desk"
